College Code,College Name,2023,2024,Difference
1,University Departments of Anna University  Chennai -CEG Campus  Sardar Patel Road  Guindy  Chennai 600025,939,987,48
2,University Departments of Anna University  Chennai -ACT Campus  Sardar Patel Road  Guindy  Chennai 600025,477,484,7
3,School of Architecture and Planning  Anna UniversityChennai 600025,36,36,0
4,University Departments of Anna University  Chennai -MIT Campus  Chrompet  Tambaram TalukChengalpattu District 600 044,652,669,17
5,Annamalai University Faculty of Engineering andTechnology Annamalai nagar Cuddalore,921,925,4
1013,University College of Engineering  VillupuramKakuppam  Villupuram District 605103,243,245,2
1014,University College of Engineering  TindivanamMelpakkam  Tindivanam  Villupuram District 604001,243,244,1
1015,University College of Engineering  Arni  Arni toDevikapuram Road  Thatchur  Arni  ThiruvannamalaiDistrict 632326,241,218,-23
1026,University College of Engineering  KancheepuramPonnerikarai Campus  NH4  Chennai-BangaloreHighway  Karaipettai Village & Post  KancheepuramDistrict 631552,216,217,1
1101,"Aalim Muhammed Salegh College of Engineering,Nizara Educational Campus Muthapudupet, Avadi -IAF, Chennai-600055.",180,253,73
1106,"Jaya Engineering College, Prakash Nagar,Thiruninravur, Thiruvallur District, Chennai-602024.",297,299,2
1107,"Jaya Institute of Technology, Kanchipadi, Thiruvallur-Thiruthani NH Road, Thiruvallur Taluk & District-631204.",150,114,-36
1110,"Prathyusha Engineering College (Autonomous),Poonamallee-Tiruvallur High Road,Aranvoyalkuppam, Tiruvallur-602025.",317,408,91
1112,"R.M.D. Engineering College (Autonomous), R.S.M.Nagar, Gummidipoondi Taluk, Kavaraipettai,Thiruvallur-601206.",268,299,31
1113,"R.M.K. Engineering College (Autonomous), R.S.M.Nagar, Kavaraipettai, Gummidipoondi Taluk,Thiruvallur-601206.",460,462,2
1114,"S.A. Engineering College (Autonomous), Poonamallee-Avadi Road, Thiruverkadu Post, Tiruvallur, Chennai-600077.",511,611,100
1115,"SriRam Engineering College, Perumalpattu,Veppampattu R.S., Tiruvallur District, Chennai-602024.",197,213,16
1116,"Sri Venkateswara College of Engineering andTechnology, Thirupachur, Thiruvallur Taluk & District-631203.",268,258,-10
1118,"Vel Tech Multi Tech Dr Rangarajan Dr SakunthalaEngineering College (Autonomous), 42, Veltech Road,Avadi, Morai, Thiruvallur-600062.",383,422,39
1120,"Velammal Engineering College (Autonomous),Velammal Nagar, Ambattur-Redhills Road, Surapet,Thiruvallur, Chennai-600066.",544,584,40
1121,"Sri Venkateswara Institute of Science and Technology,Kolundhalur, Thiruvallur Taluk & District-631203.",247,290,43
1122,"Vel Tech High Tech Dr.Rangarajan Dr.SakunthalaEngineering College (Autonomous), No. 60, VeltechRoad, Avadi, Morai, Thiruvallur-600062.",414,467,53
1123,"Gojan School of Business and Technology, 80-FeetRoad, Edapalayam, Red Hills, Thiruvallur, Chennai-600052.",211,248,37
1124,"SAMS College of Engineering and Technology,82,Panapakkam, Tirupathi Road, Uthukottai Taluk,Thiruvallur District-601102.",146,148,2
1125,"PMR Engineering College, Adayalampattu, Tiruvallur,Chennai-600095.",187,181,-6
1126,"JNN Institute of Engineering (Autonomous), UshaaGarden, 90, Kannigaipair Village, Uthukottai Taluk,Thiruvallur-601102.",227,286,59
1127,"St. Peter's College of Engineering and Technology,College Road, Avadi Taluk, Thiruvallur District,Chennai-600054.",313,399,86
1128,"R.M.K. College of Engineering and Technology(Autonomous), R.S.M. Nagar, Puduvoyal,Gummidipoondi Taluk, Thiruvallur District-601206.",242,272,30
1133,"Annai Veilankannis College of Engineering, 33 GandhiRoad, Nedungundram, Chennai-600048.",152,177,25
1137,"Annai Mira College of Engineering and Technology,Arappakkam Village, Arcot Road, Walaja Taluk,Vellore District-632517.",259,316,57
