College Code,College Name,Branch Code,Branch Name,2023,2024,Difference
1,University Departments of Anna University  Chennai -CEG Campus  Sardar Patel Road  Guindy  Chennai 600025,BY,BIO MEDICAL ENGINEERING(SS),53,53,0
1,University Departments of Anna University  Chennai -CEG Campus  Sardar Patel Road  Guindy  Chennai 600025,CE,CIVIL  ENGINEERING,53,53,0
1,University Departments of Anna University  Chennai -CEG Campus  Sardar Patel Road  Guindy  Chennai 600025,CM,COMPUTER SCIENCE ANDENGINEERING (SS),101,107,6
1,University Departments of Anna University  Chennai -CEG Campus  Sardar Patel Road  Guindy  Chennai 600025,CS,COMPUTER SCIENCE ANDENGINEERING,51,54,3
1,University Departments of Anna University  Chennai -CEG Campus  Sardar Patel Road  Guindy  Chennai 600025,EC,ELECTRONICS ANDCOMMUNICATIONENGINEERING,51,54,3
1,University Departments of Anna University  Chennai -CEG Campus  Sardar Patel Road  Guindy  Chennai 600025,EE,ELECTRICAL AND ELECTRONICSENGINEERING,51,54,3
1,University Departments of Anna University  Chennai -CEG Campus  Sardar Patel Road  Guindy  Chennai 600025,EL,Electronics Engineering (VLSIDesign and Technology) (SS),0,27,27
1,University Departments of Anna University  Chennai -CEG Campus  Sardar Patel Road  Guindy  Chennai 600025,EM,ELECTRONICS ANDCOMMUNICATIONENGINEERING (SS),53,53,0
1,University Departments of Anna University  Chennai -CEG Campus  Sardar Patel Road  Guindy  Chennai 600025,GI,GEO INFORMATICS,53,54,1
1,University Departments of Anna University  Chennai -CEG Campus  Sardar Patel Road  Guindy  Chennai 600025,IE,INDUSTRIAL ENGINEERING,52,53,1
1,University Departments of Anna University  Chennai -CEG Campus  Sardar Patel Road  Guindy  Chennai 600025,IM,INFORMATION TECHNOLOGY(SS),102,106,4
1,University Departments of Anna University  Chennai -CEG Campus  Sardar Patel Road  Guindy  Chennai 600025,MA,MATERIAL SCIENCE ANDENGINEERING (SS),26,26,0
1,University Departments of Anna University  Chennai -CEG Campus  Sardar Patel Road  Guindy  Chennai 600025,ME,MECHANICAL ENGINEERING,106,107,1
1,University Departments of Anna University  Chennai -CEG Campus  Sardar Patel Road  Guindy  Chennai 600025,MI,MINING ENGINEERING,26,26,0
1,University Departments of Anna University  Chennai -CEG Campus  Sardar Patel Road  Guindy  Chennai 600025,MN,MANUFACTURINGENGINEERING,53,53,0
1,University Departments of Anna University  Chennai -CEG Campus  Sardar Patel Road  Guindy  Chennai 600025,PT,PRINTING & PACKINGTECHNOLOGY,54,53,-1
1,University Departments of Anna University  Chennai -CEG Campus  Sardar Patel Road  Guindy  Chennai 600025,XC,CIVIL ENGINEERING (TAMILMEDIUM),27,27,0
1,University Departments of Anna University  Chennai -CEG Campus  Sardar Patel Road  Guindy  Chennai 600025,XM,MECHANICAL ENGINEERING(TAMIL MEDIUM),27,27,0
2,University Departments of Anna University  Chennai -ACT Campus  Sardar Patel Road  Guindy  Chennai 600025,AP,APPAREL TECHNOLOGY (SS),26,27,1
2,University Departments of Anna University  Chennai -ACT Campus  Sardar Patel Road  Guindy  Chennai 600025,CH,CHEMICAL  ENGINEERING,51,53,2
2,University Departments of Anna University  Chennai -ACT Campus  Sardar Patel Road  Guindy  Chennai 600025,CL,CHEMICAL  ENGINEERING (SS),53,53,0
2,University Departments of Anna University  Chennai -ACT Campus  Sardar Patel Road  Guindy  Chennai 600025,CR,CERAMIC TECHNOLOGY (SS),54,55,1
2,University Departments of Anna University  Chennai -ACT Campus  Sardar Patel Road  Guindy  Chennai 600025,FS,FOOD TECHNOLOGY (SS),35,35,0
2,University Departments of Anna University  Chennai -ACT Campus  Sardar Patel Road  Guindy  Chennai 600025,IB,INDUSTRIAL BIO TECHNOLOGY,27,27,0
2,University Departments of Anna University  Chennai -ACT Campus  Sardar Patel Road  Guindy  Chennai 600025,IS,INDUSTRIAL BIO TECHNOLOGY(SS),18,18,0
2,University Departments of Anna University  Chennai -ACT Campus  Sardar Patel Road  Guindy  Chennai 600025,LE,LEATHER TECHNOLOGY,54,53,-1
2,University Departments of Anna University  Chennai -ACT Campus  Sardar Patel Road  Guindy  Chennai 600025,PM,PHARMACEUTICALTECHNOLOGY (SS),53,54,1
2,University Departments of Anna University  Chennai -ACT Campus  Sardar Patel Road  Guindy  Chennai 600025,PP,PETROLEUM ENGINEERINGAND TECHNOLOGY (SS),54,55,1
2,University Departments of Anna University  Chennai -ACT Campus  Sardar Patel Road  Guindy  Chennai 600025,TX,TEXTILE TECHNOLOGY,52,54,2
3,School of Architecture and Planning  Anna UniversityChennai 600025,BP,B.Plan,36,36,0
4,University Departments of Anna University  Chennai -MIT Campus  Chrompet  Tambaram TalukChengalpattu District 600 044,AE,AERONAUTICAL ENGINEERING,52,54,2
4,University Departments of Anna University  Chennai -MIT Campus  Chrompet  Tambaram TalukChengalpattu District 600 044,AT,ARTIFICIAL INTELLIGENCE ANDDATA SCIENCE (SS),53,54,1
4,University Departments of Anna University  Chennai -MIT Campus  Chrompet  Tambaram TalukChengalpattu District 600 044,AU,AUTOMOBILE ENGINEERING,54,53,-1
4,University Departments of Anna University  Chennai -MIT Campus  Chrompet  Tambaram TalukChengalpattu District 600 044,CM,COMPUTER SCIENCE ANDENGINEERING (SS),52,53,1
4,University Departments of Anna University  Chennai -MIT Campus  Chrompet  Tambaram TalukChengalpattu District 600 044,CS,COMPUTER SCIENCE ANDENGINEERING,51,53,2
4,University Departments of Anna University  Chennai -MIT Campus  Chrompet  Tambaram TalukChengalpattu District 600 044,EC,ELECTRONICS ANDCOMMUNICATIONENGINEERING,50,53,3
4,University Departments of Anna University  Chennai -MIT Campus  Chrompet  Tambaram TalukChengalpattu District 600 044,EI,ELECTRONICS ANDINSTRUMENTATIONENGINEERING,53,54,1
4,University Departments of Anna University  Chennai -MIT Campus  Chrompet  Tambaram TalukChengalpattu District 600 044,EM,ELECTRONICS ANDCOMMUNICATIONENGINEERING (SS),50,53,3
4,University Departments of Anna University  Chennai -MIT Campus  Chrompet  Tambaram TalukChengalpattu District 600 044,IM,INFORMATION TECHNOLOGY(SS),104,107,3
4,University Departments of Anna University  Chennai -MIT Campus  Chrompet  Tambaram TalukChengalpattu District 600 044,PR,PRODUCTION ENGINEERING,52,54,2
4,University Departments of Anna University  Chennai -MIT Campus  Chrompet  Tambaram TalukChengalpattu District 600 044,RA,ROBOTICS AND AUTOMATION(SS),26,26,0
4,University Departments of Anna University  Chennai -MIT Campus  Chrompet  Tambaram TalukChengalpattu District 600 044,RP,RUBBER AND PLASTICTECHNOLOGY,55,55,0
5,Annamalai University Faculty of Engineering andTechnology Annamalai nagar Cuddalore,AM,COMPUTER SCIENCE ANDENGINEERING (AI ANDMACHINE LEARNING),54,55,1
5,Annamalai University Faculty of Engineering andTechnology Annamalai nagar Cuddalore,CE,CIVIL  ENGINEERING,53,54,1
5,Annamalai University Faculty of Engineering andTechnology Annamalai nagar Cuddalore,CF,COMPUTER SCIENCE ANDENGINEERING (DATA SCIENCE),55,54,-1
5,Annamalai University Faculty of Engineering andTechnology Annamalai nagar Cuddalore,CH,CHEMICAL  ENGINEERING,108,108,0
5,Annamalai University Faculty of Engineering andTechnology Annamalai nagar Cuddalore,CS,COMPUTER SCIENCE ANDENGINEERING,107,109,2
5,Annamalai University Faculty of Engineering andTechnology Annamalai nagar Cuddalore,CZ,CIVIL AND STRUCTUTURALENGINEERING,55,55,0
5,Annamalai University Faculty of Engineering andTechnology Annamalai nagar Cuddalore,EC,ELECTRONICS ANDCOMMUNICATIONENGINEERING,55,55,0
5,Annamalai University Faculty of Engineering andTechnology Annamalai nagar Cuddalore,EE,ELECTRICAL AND ELECTRONICSENGINEERING,109,108,-1
5,Annamalai University Faculty of Engineering andTechnology Annamalai nagar Cuddalore,EI,ELECTRONICS ANDINSTRUMENTATIONENGINEERING,55,55,0
